package	version	repository	optional	size	sha256	url
grep	3.12-3	main	false	128312	a2819b49c621b61567e39c5c647d5ed6fe9d51eab71ed73eebf18be76719457d	https://packages.termux.dev/apt/termux-main/pool/main/g/grep/grep_3.12-3_aarch64.deb
gzip	1.14-1	main	false	87548	5af23d04f40ef62401ed4f99dbb2087740e44aa8ae8c9f3c0ac2d56aa6551348	https://packages.termux.dev/apt/termux-main/pool/main/g/gzip/gzip_1.14-1_aarch64.deb
harfbuzz	14.3.0	main	false	831924	bba2de01bf1ad28ce6c76a3d0bf6e37cff9238fcb4fe8804be184b6699b3d1f0	https://packages.termux.dev/apt/termux-main/pool/main/h/harfbuzz/harfbuzz_14.3.0_aarch64.deb
imlib2	1.12.6-1	main	false	511052	98c0896cb34ad75a98af10b9c0e87589743429dd6ae518641f2dc2a547d9df0e	https://packages.termux.dev/apt/termux-main/pool/main/i/imlib2/imlib2_1.12.6-1_aarch64.deb
inetutils	2.7	main	false	240048	3920d3ceef5e90fb29a43cff19438de7ec0aac9d96355de8ba2a5bc5d3817acb	https://packages.termux.dev/apt/termux-main/pool/main/i/inetutils/inetutils_2.7_aarch64.deb
jack	0.0.1	main	false	696	b93031465c558a492220f00d6cb0815c02fb647640288c24522283561e8b5b8b	https://packages.termux.dev/apt/termux-main/pool/main/j/jack/jack_0.0.1_all.deb
jack2	1.9.22-2	main	false	374516	7dbdb39e94cfe52567fb86524de3303b03eb1707c82a81a1155482ccc8e9d2e8	https://packages.termux.dev/apt/termux-main/pool/main/j/jack2/jack2_1.9.22-2_aarch64.deb
jq	1.8.2	main	false	184516	0eac323797c5d70c35f5fb935c58b5fd7528937584a1aebbd5c5b965d1663afa	https://packages.termux.dev/apt/termux-main/pool/main/j/jq/jq_1.8.2_aarch64.deb
jsoncpp	1.9.8	main	false	96112	872523b31f0cb92e7c7c88db946c1765ef322b7878571887a08f973a215a5d3e	https://packages.termux.dev/apt/termux-main/pool/main/j/jsoncpp/jsoncpp_1.9.8_aarch64.deb
krb5	1.22.2	main	false	902380	3c97dcc7437616bb4051297822915bd2ff9552e63a5fbee2520db3fc0c5b575d	https://packages.termux.dev/apt/termux-main/pool/main/k/krb5/krb5_1.22.2_aarch64.deb
